age,dataset,bfis_O_newidea,bfis_O_apprart,bfis_O_highima,bfis_C_worktho,bfis_C_taskeff,bfis_C_ratlazy,bfis_E_talkati,bfis_E_sociabl,bfis_E_reserve,bfis_A_harshwo,bfis_A_ablefor,bfis_A_conside,bfis_N_worries,bfis_N_nervous,bfis_N_relaxed
76,sels,8,5,8,9,9,10,8,8,7,4,10,8,10,8,4
70,sels,6,10,2,10,10,1,8,8,8,2,6,10,8,2,0
47,sels,6,1,7,9,9,9,7,8,7,7,9,10,1,7,4
59,sels,5,7,8,9,8,10,5,7,2,9,6,7,3,1,2
56,sels,5,8,8,8,8,10,9,10,10,10,8,10,0,0,2
19,sels,7,5,8,9,9,8,9,6,8,9,8,10,9,6,3
60,sels,4,9,8,9,8,9,9,7,8,8,8,9,8,9,5
49,sels,0,0,0,0,0,10,0,0,10,10,0,0,0,0,10
64,sels,7,3,7,8,9,10,10,10,1,6,10,10,10,9,3
59,sels,9,9,5,9,9,10,7,8,9,1,8,6,4,6,8
56,sels,7,7,4,10,9,10,5,7,3,10,7,9,7,4,2
54,sels,9,2,10,10,9,1,10,10,4,9,7,10,5,8,0
31,sels,4,8,6,8,5,4,2,3,2,10,7,9,5,3,4
23,sels,5,5,5,8,6,9,7,4,4,7,10,8,4,3,6
61,sels,5,4,3,9,8,8,7,6,8,7,8,7,3,2,4
66,sels,8,7,7,8,7,2,8,8,2,2,6,8,8,5,2
77,sels,5,8,10,8,9,8,8,7,2,9,8,10,5,3,0
36,sels,7,7,8,10,9,6,10,8,2,5,6,8,8,5,1
58,sels,5,9,9,8,9,10,9,7,7,9,9,9,2,1,2
22,sels,6,5,6,10,9,8,7,8,9,3,7,6,10,8,8
55,sels,10,9,9,10,9,8,8,6,3,2,8,8,8,1,3
66,sels,0,8,6,9,10,10,4,0,0,10,10,9,10,8,6
50,sels,5,1,2,9,5,3,6,7,4,4,7,5,3,3,6
35,sels,7,3,9,8,8,7,8,7,3,7,10,9,6,2,2
62,sels,9,8,9,8,9,2,8,8,7,8,9,9,6,2,1
32,sels,5,3,5,9,8,5,6,6,3,7,7,8,8,3,6
24,sels,7,1,6,8,6,6,8,8,6,2,7,8,4,3,2
30,sels,5,6,4,9,7,7,8,8,6,8,8,8,7,4,4
70,sels,5,5,3,6,6,3,3,5,3,4,4,7,4,5,6
21,sels,5,2,5,7,8,8,8,9,4,8,7,9,3,6,1
77,sels,8,10,9,6,6,3,6,6,4,3,8,8,5,7,3
58,sels,8,5,9,10,10,10,5,8,0,4,5,10,10,8,3
22,sels,7,7,8,4,6,3,8,8,6,6,6,5,6,6,4
53,sels,6,5,7,10,10,9,9,8,2,9,8,9,5,3,3
54,sels,8,5,8,9,10,5,7,5,7,2,10,9,10,1,0
28,sels,6,3,4,9,8,3,4,6,2,8,9,9,3,7,5
67,sels,8,1,5,10,7,8,5,5,3,8,5,7,8,5,5
39,sels,8,2,9,6,4,7,9,7,7,8,7,9,2,2,7
999,sels,9,5,9,9,8,10,9,9,9,1,9,8,9,7,2
34,sels,9,10,10,9,10,10,10,10,7,3,10,9,3,3,2
72,sels,4,1,4,10,4,6,5,4,6,2,8,8,8,4,6
61,sels,6,4,8,9,9,10,9,9,2,9,9,10,9,7,5
76,sels,3,1,4,7,9,2,7,5,4,5,5,5,5,2,6
56,sels,10,10,10,10,10,10,10,10,5,6,10,7,2,2,6
53,sels,5,9,7,8,7,6,9,8,5,1,3,9,6,9,8
73,sels,4,8,5,8,8,9,4,3,6,8,8,8,6,6,5
40,sels,5,0,4,10,9,4,7,5,1,10,9,10,5,7,2
47,sels,5,8,6,9,8,9,8,5,4,9,8,8,8,3,6
71,sels,10,5,10,9,7,4,7,7,3,2,7,7,9,4,3
55,sels,4,7,5,7,7,5,7,7,5,5,5,8,4,5,4
53,sels,7,7,8,7,8,10,8,8,3,9,9,9,7,3,2
62,sels,7,3,3,8,8,9,7,6,4,5,7,5,2,1,8
74,sels,8,5,8,8,8,7,10,8,8,3,8,8,5,2,5
33,sels,6,6,8,6,6,2,7,7,3,3,6,6,8,7,4
53,sels,7,8,6,10,9,8,7,6,2,0,4,8,9,6,2
23,sels,8,9,9,10,8,1,10,10,6,3,8,8,10,9,3
18,sels,6,4,6,5,5,4,4,4,3,4,8,8,8,7,8
49,sels,6,7,6,8,7,7,7,8,6,7,7,8,7,4,2
43,sels,8,5,5,8,5,8,10,8,8,8,8,8,6,5,6
79,sels,8,10,4,7,7,10,10,7,4,6,3,7,10,2,2
56,sels,8,2,9,5,9,9,9,8,3,9,7,10,8,5,4
58,sels,7,8,5,8,9,9,9,10,8,3,8,8,6,8,3
51,sels,2,3,1,8,8,9,6,3,2,9,8,10,5,5,6
57,sels,5,5,5,7,7,7,7,7,7,5,8,9,5,3,4
65,sels,7,4,6,7,5,7,6,6,5,2,7,7,5,4,3
59,sels,6,4,4,6,9,8,7,3,2,9,9,8,7,1,1
20,sels,4,7,8,5,6,5,7,6,5,7,9,7,8,5,4
68,sels,6,1,5,8,7,4,8,8,7,3,5,5,1,7,3
51,sels,6,6,8,9,9,9,8,8,5,7,8,9,2,2,1
73,sels,10,10,8,7,7,2,8,8,2,2,9,6,7,4,4
18,sels,8,3,2,10,10,10,5,7,3,10,10,10,10,1,1
34,sels,5,4,8,7,5,5,4,4,3,2,7,4,6,6,6
51,sels,1,1,3,8,6,4,6,6,7,9,0,3,1,1,6
47,sels,8,5,9,9,7,9,6,7,2,8,7,9,5,5,2
56,sels,8,5,9,9,8,9,8,5,7,6,8,6,3,2,3
41,sels,6,8,8,10,8,10,8,8,7,2,8,9,6,6,2
58,sels,9,10,8,7,10,10,7,8,3,3,10,7,2,5,2
75,sels,4,4,9,7,6,7,4,7,3,4,3,7,4,3,7
39,sels,8,3,10,9,8,6,9,8,5,6,7,6,5,5,5
70,sels,4,6,6,8,6,4,4,4,4,8,6,8,4,3,4
43,sels,8,5,6,10,9,10,10,7,7,6,6,7,3,1,3
53,sels,7,8,7,9,9,9,10,10,6,8,9,9,3,7,4
54,sels,5,9,6,8,9,9,8,8,3,4,5,7,3,1,2
37,sels,10,8,9,8,9,9,10,9,3,6,8,9,8,6,3
65,sels,6,3,7,10,9,10,10,6,4,7,4,10,7,3,4
55,sels,8,5,5,9,7,10,8,7,5,5,8,7,9,5,2
64,sels,8,6,8,10,9,10,8,7,2,8,9,9,8,2,2
53,sels,9,8,9,9,9,10,9,7,3,7,0,6,6,7,2
36,sels,4,5,5,7,6,6,8,3,5,2,9,8,10,9,9
63,sels,2,8,8,9,8,8,9,9,6,3,9,8,2,5,6
51,sels,8,8,8,10,8,9,5,5,5,10,5,8,7,5,5
73,sels,7,2,5,8,9,9,3,4,9,10,10,10,5,2,2
34,sels,7,3,8,3,8,5,10,8,5,9,10,9,5,7,5
77,sels,5,6,8,5,8,9,6,9,1,8,7,7,2,1,1
58,sels,5,8,5,7,7,7,9,9,8,5,5,7,7,2,7
19,sels,4,10,9,8,7,6,2,2,1,5,8,6,8,9,9
72,sels,3,5,5,7,7,9,7,6,5,8,9,9,7,5,7
43,sels,6,7,5,9,9,3,10,10,2,10,9,10,5,1,3
67,sels,8,10,8,8,10,7,10,7,8,10,7,9,6,5,5
71,sels,1,7,3,8,7,9,8,8,8,8,7,7,3,3,3
22,sels,9,10,10,10,9,9,6,8,4,9,6,9,9,2,4
44,sels,7,9,9,9,9,9,6,6,3,5,9,9,8,6,4
61,sels,7,8,7,9,8,9,3,3,8,4,7,7,4,2,2
67,sels,5,5,7,8,8,8,8,6,4,10,8,9,2,4,3
62,sels,7,1,7,9,10,9,6,7,7,1,6,6,9,7,4
70,sels,7,9,7,8,8,8,9,9,6,5,7,10,3,5,3
71,sels,6,8,4,9,9,8,5,5,2,6,6,8,6,4,5
18,sels,8,5,8,8,8,7,8,6,4,8,7,8,5,5,3
27,sels,2,1,6,7,7,4,9,9,8,3,8,7,6,2,4
59,sels,7,2,7,8,8,8,8,5,4,2,10,9,5,2,4
56,sels,8,9,8,9,8,9,7,9,6,8,9,9,6,2,3
72,sels,9,8,9,8,9,9,8,9,5,10,9,9,6,1,3
44,sels,7,8,9,8,9,10,8,10,8,0,5,6,9,7,1
70,sels,3,0,3,9,9,10,6,7,1,10,5,8,8,2,2
68,sels,5,8,8,8,8,9,2,4,2,6,8,8,1,2,2
49,sels,6,4,6,8,9,5,6,6,1,4,9,9,9,9,4
62,sels,4,5,5,7,8,4,7,4,5,7,5,7,5,5,4
41,sels,2,8,8,8,8,7,5,5,2,2,6,8,9,8,5
73,sels,6,3,6,10,8,10,7,10,2,10,10,8,5,3,2
51,sels,8,5,9,9,8,10,8,5,5,10,9,9,5,2,3
55,sels,4,9,9,10,10,10,10,8,2,4,9,9,10,2,6
85,sels,4,8,7,5,3,10,7,0,2,8,6,7,6,4,4
45,sels,1,0,2,10,9,10,9,5,3,9,7,10,5,5,6
24,sels,6,3,6,10,9,2,9,8,4,5,5,7,5,6,5
76,sels,5,2,3,7,7,6,5,6,7,3,6,4,4,6,5
66,sels,7,0,5,10,10,5,6,7,5,3,7,6,7,1,2
38,sels,6,9,5,9,9,5,2,1,1,10,5,10,8,8,7
57,sels,8,9,7,8,7,10,9,9,7,9,8,7,6,2,3
62,sels,9,8,8,8,10,9,8,8,4,2,10,9,8,2,0
28,sels,7,5,7,5,6,4,9,6,5,9,9,9,3,3,0
67,sels,5,8,7,9,10,10,7,5,4,10,8,10,10,7,3
32,sels,7,8,8,9,8,8,7,8,7,3,6,8,8,7,3
50,sels,5,8,6,8,7,10,5,5,3,2,10,6,9,8,4
70,sels,5,10,10,10,10,10,10,10,1,8,5,10,10,7,1
29,sels,4,2,1,10,9,10,5,5,1,3,10,8,10,8,2
48,sels,2,3,3,9,8,3,3,3,2,9,7,8,4,4,3
29,sels,8,9,8,10,9,9,7,8,4,8,7,8,3,2,2
57,sels,4,3,3,9,8,6,6,4,5,3,5,7,5,3,6
35,sels,7,7,7,8,7,9,7,6,4,8,8,9,1,3,3
44,sels,5,5,6,10,10,10,8,4,5,10,4,10,4,5,2
43,sels,9,9,8,10,10,10,8,6,2,10,8,10,8,8,3
55,sels,7,7,9,8,8,7,8,8,2,5,9,9,8,4,1
37,sels,9,0,7,10,10,10,1,4,1,8,0,10,4,2,1
48,sels,7,8,7,7,7,7,9,9,4,9,5,8,6,7,5
44,sels,6,7,6,8,9,4,9,7,7,8,8,3,7,6,1
57,sels,5,9,10,10,10,10,8,7,0,10,10,10,9,6,4
65,sels,6,3,4,8,7,8,5,5,0,8,7,8,7,2,2
46,sels,8,7,9,8,9,9,9,9,9,3,8,9,2,1,3
40,sels,8,4,8,10,10,10,9,9,3,8,9,10,9,7,5
74,sels,10,5,9,10,8,10,10,10,0,5,9,10,10,9,5
71,sels,5,7,5,9,5,9,4,2,2,9,1,6,9,8,9
42,sels,8,3,8,9,8,9,8,7,9,7,7,8,5,1,4
24,sels,7,9,9,9,9,9,7,4,3,9,7,10,9,6,5
23,sels,7,9,8,8,7,2,8,8,8,7,8,8,5,5,4
28,sels,4,1,3,9,8,10,5,6,6,6,6,6,6,4,8
58,sels,2,2,5,8,9,5,7,7,8,8,7,8,3,2,3
52,sels,7,4,7,9,8,9,6,7,5,2,9,4,4,2,2
37,sels,6,7,4,8,10,7,10,10,7,5,5,8,6,7,5
59,sels,5,1,9,7,7,9,7,6,9,1,10,7,7,3,5
22,sels,5,4,6,10,10,7,6,7,0,9,8,10,10,8,3
67,sels,8,4,7,9,7,10,9,9,4,2,10,9,9,7,1
65,sels,7,3,7,7,8,9,8,8,4,3,5,8,3,4,3
44,sels,7,3,7,7,6,10,7,9,4,9,8,8,2,5,4
51,sels,2,8,2,8,9,5,6,7,2,9,8,8,8,8,6
27,sels,6,7,3,6,6,5,3,6,2,10,8,8,7,2,1
70,sels,2,10,10,9,10,10,7,2,0,10,9,10,8,9,2
78,sels,6,3,4,7,5,7,6,8,5,8,9,6,9,4,4
48,sels,6,2,6,8,8,9,9,9,5,8,7,8,4,2,2
39,sels,4,10,10,10,9,10,2,5,1,9,10,5,9,6,8
34,sels,8,8,9,9,8,9,8,8,7,8,4,9,9,3,3
70,sels,5,5,7,10,8,10,10,10,0,9,10,10,10,5,5
64,sels,9,7,8,9,8,4,9,9,8,4,8,3,2,1,2
54,sels,8,8,9,9,8,8,8,9,2,5,7,8,8,8,1
30,sels,6,3,10,7,5,10,6,9,5,9,8,9,3,1,2
58,sels,6,7,7,9,10,5,8,9,8,10,8,9,4,0,1
62,sels,7,10,8,9,9,9,9,8,8,6,9,8,3,5,5
50,sels,6,8,6,9,8,5,6,6,5,7,8,7,6,3,2
55,sels,6,9,9,9,8,10,8,5,4,7,5,8,5,3,3
44,sels,6,6,5,7,7,9,7,6,5,7,7,7,6,5,3
47,sels,8,5,6,9,10,6,5,6,5,8,6,7,2,2,3
74,sels,1,3,2,8,9,2,5,2,7,10,2,8,7,5,7
63,sels,8,5,4,8,6,4,5,4,5,7,5,6,5,6,7
44,sels,7,7,6,10,8,10,9,8,5,2,8,8,9,2,3
47,sels,6,8,6,9,9,8,7,8,3,5,8,9,5,4,1
52,sels,7,7,6,8,7,8,10,7,5,9,9,7,5,9,5
18,sels,5,10,7,10,10,10,6,10,0,9,10,10,10,4,4
53,sels,3,0,10,5,10,10,2,0,2,8,10,10,5,1,7
63,sels,5,2,5,8,8,3,10,9,7,1,6,9,5,8,5
26,sels,6,7,5,9,8,7,6,7,4,9,3,8,3,4,3
48,sels,8,10,10,7,8,9,10,10,7,9,8,10,2,3,1
32,sels,9,7,10,10,5,8,8,8,7,4,7,9,10,3,1
33,sels,6,1,4,10,7,7,6,5,4,3,5,7,5,2,6
56,sels,6,7,8,7,6,9,6,7,5,5,10,7,7,3,1
45,sels,7,7,8,7,7,8,5,7,8,8,7,8,2,2,2
19,sels,8,6,8,8,8,5,6,3,2,9,6,8,9,8,3
44,sels,6,3,5,9,9,7,8,7,1,1,6,10,5,1,2
54,sels,5,5,5,9,8,6,6,6,2,1,10,8,8,8,5
40,sels,6,3,7,8,9,9,7,9,5,9,8,8,5,4,3
37,sels,3,6,4,8,9,3,8,8,8,4,4,7,5,6,8
35,sels,7,3,6,10,9,8,7,5,3,4,10,8,4,1,1
58,sels,6,10,8,7,8,3,3,8,6,7,10,8,8,5,1
63,sels,9,10,9,8,5,8,8,8,7,2,7,5,8,9,7
70,sels,8,9,7,7,8,7,9,9,8,5,9,8,3,4,1
40,sels,8,7,6,9,8,5,10,7,5,4,10,8,4,4,3
31,sels,6,4,9,10,7,10,8,8,2,8,7,9,7,4,3
75,sels,9,8,8,9,9,9,8,8,2,2,8,8,9,1,1
55,sels,9,9,9,10,9,5,10,9,3,2,10,9,10,8,0
30,sels,7,6,9,9,7,7,9,10,3,7,9,10,5,5,2
24,sels,5,6,5,8,8,9,5,5,2,9,9,8,3,4,3
25,sels,8,3,7,9,9,7,8,8,4,9,10,10,6,7,5
62,sels,8,0,9,8,7,8,8,9,5,9,7,9,1,7,4
30,sels,8,6,8,8,10,10,10,10,9,8,8,9,1,2,2
20,sels,10,10,10,5,8,2,8,6,7,10,8,8,10,9,7
29,sels,5,2,5,10,10,5,9,4,2,7,8,10,9,5,4
34,sels,6,8,8,8,8,8,3,4,2,4,9,7,5,5,2
59,sels,10,5,5,10,10,4,8,8,5,8,2,9,6,5,5
70,sels,5,8,6,8,8,8,5,4,2,3,7,4,3,4,6
59,sels,6,9,8,10,10,10,8,5,2,9,10,9,7,5,1
62,sels,6,8,6,7,7,10,6,7,8,5,6,6,5,3,3
67,sels,8,5,6,8,7,9,6,5,5,9,4,8,6,2,5
63,sels,3,1,4,9,7,5,9,9,8,9,7,9,2,5,4
56,sels,5,6,5,9,9,7,9,10,9,8,8,8,1,3,3
49,sels,6,2,6,8,8,10,5,5,2,9,5,8,5,2,2
57,sels,5,8,4,8,8,8,8,8,5,8,8,9,10,2,5
65,sels,0,0,4,0,5,10,0,0,6,10,0,3,0,2,9
30,sels,1,0,3,10,8,10,5,5,3,8,7,10,5,2,3
46,sels,8,3,8,10,10,7,10,10,6,4,10,4,7,3,5
68,sels,5,6,5,9,9,4,8,5,4,6,8,9,7,5,5
52,sels,4,6,8,7,7,9,7,5,4,7,7,7,5,6,5
49,sels,8,0,8,9,9,1,5,3,1,2,1,8,1,2,2
35,sels,10,8,10,9,9,9,6,7,7,2,3,7,9,10,8
52,sels,7,3,7,10,9,9,6,8,4,3,6,9,9,5,2
72,sels,6,8,5,10,9,10,7,6,5,6,7,8,3,2,1
47,sels,6,7,8,8,7,7,4,5,3,3,5,6,5,5,3
46,sels,8,7,8,8,6,6,10,8,4,6,5,7,4,5,3
60,sels,5,7,5,9,8,5,3,5,2,5,7,7,8,5,7
51,sels,9,3,8,9,9,9,8,9,8,4,6,6,4,6,3
74,sels,1,10,2,8,5,8,6,8,5,6,9,4,5,1,1
58,sels,8,9,8,9,9,9,9,9,3,7,10,9,3,2,1
66,sels,10,10,10,10,10,10,9,9,2,10,7,8,7,1,2
66,sels,9,5,9,8,9,6,9,9,4,3,10,9,9,2,1
40,sels,4,3,4,8,7,7,7,6,5,6,7,7,5,3,5
53,sels,7,4,8,8,8,8,8,9,2,4,9,9,9,2,1
55,sels,9,10,9,8,7,5,8,7,5,9,8,10,5,6,6
37,sels,4,4,4,6,8,4,6,6,3,9,8,8,6,7,1
36,sels,5,6,7,6,10,3,7,10,3,2,4,7,6,1,2
78,sels,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,sels,5,0,6,9,9,8,9,9,8,7,9,8,5,1,1
38,sels,6,4,5,7,8,3,5,3,6,8,8,7,5,5,4
46,sels,6,1,3,8,8,2,2,2,2,7,5,8,7,8,8
18,sels,7,6,7,9,7,6,8,10,2,7,8,10,5,1,2
77,sels,5,8,5,9,9,10,7,5,6,10,9,9,2,1,2
60,sels,8,9,6,8,8,5,8,9,7,6,8,8,5,5,2
62,sels,3,5,2,10,10,10,7,2,8,5,4,8,5,7,7
63,sels,5,5,8,8,8,10,8,7,1,5,10,9,8,4,2
29,sels,10,10,10,10,10,10,10,10,5,7,7,10,10,4,2
22,sels,8,3,7,6,8,10,5,8,9,2,8,7,1,1,1
75,sels,0,5,6,10,10,10,6,6,5,10,6,8,6,2,4
72,sels,7,1,9,7,5,9,9,6,9,10,6,10,1,3,6
54,sels,8,10,9,10,8,10,6,3,4,9,9,8,7,4,6
26,sels,5,7,7,7,5,2,6,8,5,4,6,7,5,5,4
68,sels,7,10,5,10,8,9,7,8,2,10,10,8,8,2,3
27,sels,6,8,8,8,9,4,8,7,5,9,5,8,8,1,2
19,sels,8,10,9,10,10,10,9,10,9,7,10,10,2,4,2
30,sels,6,6,6,8,8,9,8,8,4,5,8,4,3,2,2
48,sels,8,5,8,6,3,9,2,3,7,6,4,2,2,4,6
70,sels,5,6,5,7,7,9,8,6,7,1,3,5,5,8,9
36,sels,1,9,6,8,8,7,5,3,2,7,7,7,9,8,5
42,sels,6,5,9,8,9,9,8,8,1,7,8,9,8,5,5
67,sels,10,10,10,8,8,10,9,10,8,8,5,8,3,4,5
74,sels,6,8,6,9,9,0,8,9,3,10,8,8,5,3,1
33,sels,5,3,3,10,9,10,10,6,7,5,10,10,1,0,0
35,sels,8,8,7,8,8,8,7,7,9,4,5,7,5,6,0
44,sels,6,2,4,10,8,10,7,7,2,7,4,8,7,2,2
75,sels,3,7,6,8,9,8,5,3,5,8,8,8,5,7,4
58,sels,6,8,7,8,8,4,8,7,5,7,6,7,4,3,3
88,sels,2,2,7,10,7,9,6,6,5,6,6,9,8,5,4
26,sels,7,10,7,10,9,7,7,8,3,6,8,7,10,9,8
53,sels,1,3,2,7,9,6,6,5,4,8,2,9,3,2,5
51,sels,5,8,8,8,8,9,8,6,3,8,10,9,10,6,1
45,sels,6,4,4,8,8,10,7,7,5,7,4,5,3,5,4
72,sels,10,10,10,10,10,10,10,10,0,0,8,9,6,0,0
67,sels,5,7,5,4,7,8,6,7,5,8,7,6,5,5,5
49,sels,8,2,5,8,7,10,8,8,8,7,7,7,5,2,2
45,sels,7,5,7,8,8,3,7,5,3,6,5,8,4,6,5
43,sels,7,3,7,8,8,9,7,6,5,8,6,7,2,3,3
62,sels,8,5,8,8,9,2,6,8,6,10,1,9,4,2,2
59,sels,5,7,8,10,10,9,2,3,0,6,4,9,10,10,9
66,sels,6,4,8,10,9,9,8,9,4,6,8,6,3,1,1
63,sels,7,3,3,8,4,4,3,2,8,6,4,7,3,6,3
29,sels,8,2,9,10,8,8,7,8,5,10,8,9,4,2,2
43,sels,7,2,8,9,8,10,8,8,2,8,7,9,6,4,2
35,sels,9,0,7,8,8,10,7,8,5,5,10,8,5,7,7
63,sels,7,6,9,8,8,10,9,8,7,8,8,9,7,2,2
37,sels,7,4,2,8,8,8,8,8,6,7,7,8,3,3,3
67,sels,10,10,10,10,10,10,10,5,5,10,10,10,4,0,2
49,sels,5,4,9,9,6,9,6,8,2,9,9,8,3,2,7
62,sels,9,10,10,8,9,9,8,10,9,4,8,8,7,7,2
68,sels,5,8,4,7,7,2,8,4,2,1,7,3,9,9,4
62,sels,6,5,6,7,7,8,7,9,5,3,9,8,8,2,2
26,sels,4,9,7,9,6,5,3,3,1,9,5,7,8,5,5
25,sels,7,6,5,8,8,7,9,9,9,8,8,8,4,2,3
31,sels,9,1,8,10,10,9,9,10,8,5,8,10,3,4,6
49,sels,6,5,9,9,10,3,9,7,5,2,6,9,6,6,5
53,sels,8,10,10,9,7,3,10,10,7,7,6,10,9,6,6
67,sels,8,7,6,10,10,8,10,10,9,9,10,10,10,8,2
52,sels,5,2,6,9,9,9,6,7,1,9,9,8,7,3,7
63,sels,9,10,9,9,7,10,10,10,7,3,9,8,3,1,2
24,sels,6,4,6,9,8,10,8,8,5,7,8,9,5,5,2
62,sels,0,0,3,10,8,10,4,3,4,10,7,10,3,3,4
36,sels,10,10,10,10,9,4,10,10,7,3,10,10,5,9,1
43,sels,6,1,2,9,9,9,9,8,4,2,3,8,3,8,2
27,sels,9,3,9,10,8,7,10,10,5,10,10,10,9,7,1
34,sels,6,3,6,9,9,9,9,8,3,7,8,9,7,8,6
64,sels,7,8,9,10,10,5,5,5,5,3,8,6,5,5,2
30,sels,9,7,10,8,10,10,9,9,8,10,9,9,9,7,4
46,sels,7,10,10,8,6,4,9,7,3,9,9,9,9,6,4
21,sels,9,7,10,5,7,9,6,6,8,4,2,9,8,2,5
71,sels,5,8,6,8,8,9,6,5,4,8,5,8,5,2,4
49,sels,5,10,8,8,6,6,6,4,5,6,9,10,5,4,6
46,sels,9,3,8,10,10,10,10,10,10,10,8,10,5,1,4
54,sels,6,8,5,8,8,2,8,7,3,7,9,8,8,9,7
43,sels,5,4,4,9,8,6,7,4,3,6,6,9,7,5,5
18,sels,6,6,7,7,6,6,8,7,6,9,9,9,3,7,7
41,sels,10,10,10,10,10,5,10,7,5,10,10,10,10,5,5
38,sels,7,6,9,9,9,10,9,10,5,3,6,7,8,1,1
70,sels,3,8,5,8,8,7,7,5,5,8,5,8,7,3,4
62,sels,6,6,6,9,7,8,8,8,5,7,5,7,7,3,4
67,sels,2,5,5,10,8,8,4,10,5,8,6,10,6,0,5
55,sels,6,5,5,8,8,8,8,8,3,8,10,8,6,2,2
43,sels,7,5,8,9,9,10,9,8,2,8,8,9,1,2,2
36,sels,7,4,5,8,6,4,7,3,5,4,7,6,6,3,3
46,sels,6,0,6,9,9,10,9,9,2,10,9,8,2,0,2
51,sels,8,8,9,9,9,4,8,8,4,9,4,9,9,1,1
29,sels,7,3,7,10,9,9,7,8,5,10,4,7,2,4,2
66,sels,7,7,9,7,7,8,3,7,5,9,5,7,3,2,1
39,sels,3,2,3,9,9,5,9,7,4,9,8,9,8,2,3
36,sels,7,5,7,9,8,10,9,8,4,9,2,8,5,2,2
77,sels,2,1,4,9,9,10,5,2,8,9,3,5,9,10,8
28,sels,8,10,8,9,10,8,8,7,3,9,10,10,4,5,3
47,sels,5,5,5,10,10,10,5,5,5,5,5,5,5,5,0
45,sels,7,9,7,8,7,9,8,7,2,3,7,8,9,6,4
27,sels,7,2,8,10,7,9,6,8,5,4,7,6,8,7,8
38,sels,7,9,9,9,9,10,5,5,0,9,8,10,10,6,5
89,sels,0,9,2,10,8,0,3,4,7,9,4,8,2,5,9
66,sels,4,10,6,2,6,10,5,7,5,9,5,8,7,1,5
46,sels,5,7,5,10,10,10,9,8,9,9,9,9,9,4,2
63,sels,10,9,9,10,10,1,10,10,2,1,9,9,9,10,0
73,sels,6,9,6,8,7,8,9,9,8,9,5,8,9,7,5
54,sels,5,5,5,10,9,5,5,5,1,10,5,9,0,5,5
30,sels,7,8,7,8,7,7,8,8,9,8,7,7,5,3,5
64,sels,7,1,9,7,9,4,9,8,9,3,5,5,8,9,5
37,sels,9,10,9,7,8,9,9,9,8,8,4,9,3,3,2
