outcome,trait,dataset,est,se,mod,Data,name,est_abs,pval,pval_text
stfdem,Extraversion,anes12,0.01948351008609951,0.036172603168874634,under30,ANES 2012,Sat. democracy,0.01948351008609951,0.5901448380736456,p =  0.59
polintr,Agreeableness,anes12,-0.10053826515662666,0.035979233375044155,under30,ANES 2012,Interest,0.10053826515662666,0.005200552653780986,p < 0.01
poleff,Neuroticism,anes12,0.03132950493879572,0.0358273692545082,under30,ANES 2012,Efficacy,0.03132950493879572,0.3818692589228197,p =  0.38
involvement,Openness,anes12,-0.04474907579711079,0.03603339113680653,under30,ANES 2012,Involvement,0.04474907579711079,0.21428157748675217,p =  0.21
polpar,Conscientiousness,anes12,0.09061119532219129,0.054566966589328005,under30,ANES 2012,Participation,0.09061119532219129,0.09680378821999677,p =  0.1
media,Extraversion,anes12,-0.030895539664511636,0.034718320231981493,under30,ANES 2012,Media use,0.030895539664511636,0.3735241238004508,p =  0.37
poltr,Agreeableness,anes12,0.022999708719717047,0.052452803977388524,under30,ANES 2012,Political trust,0.022999708719717047,0.6610355570584202,p =  0.66
knowledge,Neuroticism,anes12,0.05507016579720817,0.034974093026429655,under30,ANES 2012,Knowledge,0.05507016579720817,0.11534907416879199,p =  0.12
ideology,Openness,anes16,0.034406306671579116,0.05202545508469026,under30,ANES 2016,Left-right ideology,0.034406306671579116,0.5083968555984479,p =  0.51
stfdem,Conscientiousness,anes16,0.014601304202668752,0.0438088694773773,under30,ANES 2016,Sat. democracy,0.014601304202668752,0.7389111472188044,p =  0.74
polintr,Extraversion,anes16,-0.07567652070530587,0.043463886225950286,under30,ANES 2016,Interest,0.07567652070530587,0.08165980807272169,p =  0.08
poleff,Agreeableness,anes16,-0.10964827209999947,0.04800884603682258,under30,ANES 2016,Efficacy,0.10964827209999947,0.022376345075355523,p =  0.02
involvement,Neuroticism,anes16,0.11910597904888684,0.044921182778050676,under30,ANES 2016,Involvement,0.11910597904888684,0.0080148516361297,p < 0.01
polpar,Openness,anes16,0.08781368440649237,0.06127286388768494,under30,ANES 2016,Participation,0.08781368440649237,0.15181273901713432,p =  0.15
media,Conscientiousness,anes16,-0.04730311461383649,0.041929317673303934,under30,ANES 2016,Media use,0.04730311461383649,0.25925098803089014,p =  0.26
poltr,Extraversion,anes16,-0.046137751501156114,0.04487942119697484,under30,ANES 2016,Political trust,0.046137751501156114,0.3039319415925877,p =  0.3
knowledge,Agreeableness,anes16,-0.07039472154873745,0.04692494133093197,under30,ANES 2016,Knowledge,0.07039472154873745,0.13357405704045602,p =  0.13
ideology,Neuroticism,anes16,-0.005149533185763127,0.050745440180861134,under30,ANES 2016,Left-right ideology,0.005149533185763127,0.9191712178370754,p =  0.92
stfdem,Openness,anes16,-0.0016500783140840389,0.04635001217669106,under30,ANES 2016,Sat. democracy,0.0016500783140840389,0.9716010007155478,p =  0.97
polintr,Conscientiousness,anes16,-0.06304251463279074,0.04240593639601056,under30,ANES 2016,Interest,0.06304251463279074,0.13710896170477682,p =  0.14
poleff,Extraversion,anes16,0.05215641537193394,0.04526525132318993,under30,ANES 2016,Efficacy,0.05215641537193394,0.24922262650445257,p =  0.25
involvement,Agreeableness,anes16,-0.11470508061543756,0.047901656286762614,under30,ANES 2016,Involvement,0.11470508061543756,0.016638719263852287,p =  0.02
polpar,Neuroticism,anes16,-0.049059876042282756,0.05605244707251219,under30,ANES 2016,Participation,0.049059876042282756,0.38143816732847025,p =  0.38
media,Openness,anes16,0.08705549374144377,0.04439835148263268,under30,ANES 2016,Media use,0.08705549374144377,0.04990444468360696,p =  0.05
poltr,Conscientiousness,anes16,4.2082344501570795e-4,0.043829120510593046,under30,ANES 2016,Political trust,4.2082344501570795e-4,0.992339262873843,p =  0.99
knowledge,Extraversion,anes16,0.0011100251042082566,0.04432235293358782,under30,ANES 2016,Knowledge,0.0011100251042082566,0.9800195779862567,p =  0.98
ideology,Agreeableness,anes16,0.022195009074968963,0.05407847141515256,under30,ANES 2016,Left-right ideology,0.022195009074968963,0.6814962115153036,p =  0.68
stfdem,Neuroticism,anes16,0.049041757104408404,0.04453408787799548,under30,ANES 2016,Sat. democracy,0.049041757104408404,0.2708016143863641,p =  0.27
polintr,Openness,anes16,0.02319769261994739,0.0447669278627775,under30,ANES 2016,Interest,0.02319769261994739,0.6043269848247784,p =  0.6
poleff,Conscientiousness,anes16,-0.09296552280617164,0.04417713761184948,under30,ANES 2016,Efficacy,0.09296552280617164,0.03534523771391838,p =  0.04
involvement,Extraversion,anes16,-0.07085607619906288,0.045074576515898836,under30,ANES 2016,Involvement,0.07085607619906288,0.11595650984655444,p =  0.12
polpar,Agreeableness,anes16,0.005266780858292526,0.05834208306620432,under30,ANES 2016,Participation,0.005266780858292526,0.9280693765521734,p =  0.93
media,Neuroticism,anes16,0.021368603977050336,0.0427999954228921,under30,ANES 2016,Media use,0.021368603977050336,0.6175916509366393,p =  0.62
poltr,Openness,anes16,0.04502013166886453,0.046359142106929395,under30,ANES 2016,Political trust,0.04502013166886453,0.3314902268705759,p =  0.33
knowledge,Conscientiousness,anes16,0.02233452211869487,0.04278449335288052,under30,ANES 2016,Knowledge,0.02233452211869487,0.6016537870992104,p =  0.6
ideology,Extraversion,anes16,0.02940160014029285,0.050270522120820296,under30,ANES 2016,Left-right ideology,0.02940160014029285,0.5586367388833763,p =  0.56
stfdem,Agreeableness,anes16,0.005527126573509231,0.047712191645817754,under30,ANES 2016,Sat. democracy,0.005527126573509231,0.9077769183955322,p =  0.91
polintr,Neuroticism,anes16,0.04162827182380375,0.04328708566999429,under30,ANES 2016,Interest,0.04162827182380375,0.33621098382292597,p =  0.34
poleff,Openness,anes16,-0.09339884185362825,0.046736169422210434,under30,ANES 2016,Efficacy,0.09339884185362825,0.045670342824493435,p =  0.05
involvement,Conscientiousness,anes16,-0.18377707442636895,0.044035888397898744,under30,ANES 2016,Involvement,0.18377707442636895,3.0015630634733537e-5,p < 0.01
polpar,Extraversion,anes16,-0.07352316112742653,0.05478793647811975,under30,ANES 2016,Participation,0.07352316112742653,0.1796093094901947,p =  0.18
media,Agreeableness,anes16,-0.018032360820934356,0.04571074648421574,under30,ANES 2016,Media use,0.018032360820934356,0.6932204643030074,p =  0.69
poltr,Neuroticism,anes16,-0.05997505660215177,0.04471881961886693,under30,ANES 2016,Political trust,0.05997505660215177,0.17986876805447682,p =  0.18
knowledge,Openness,anes16,0.030092672728580787,0.04543514874154506,under30,ANES 2016,Knowledge,0.030092672728580787,0.5077652450238459,p =  0.51
ideology,Conscientiousness,anes16,0.018601037626801268,0.051398656322573705,under30,ANES 2016,Left-right ideology,0.018601037626801268,0.7174287387092284,p =  0.72
stfdem,Extraversion,anes16,-0.009696762980854,0.04484970444017186,under30,ANES 2016,Sat. democracy,0.009696762980854,0.8288273891576545,p =  0.83
polintr,Agreeableness,anes16,-0.11972027905061615,0.0462767009887936,under30,ANES 2016,Interest,0.11972027905061615,0.009680069590446433,p < 0.01
poleff,Neuroticism,anes16,0.09566198959921991,0.0449187357817121,under30,ANES 2016,Efficacy,0.09566198959921991,0.033199041121113826,p =  0.03
involvement,Openness,anes16,-0.11658637255125774,0.0460964424654083,under30,ANES 2016,Involvement,0.11658637255125774,0.011432815941477095,p =  0.01
polpar,Conscientiousness,anes16,0.0681096616081693,0.05861599756342348,under30,ANES 2016,Participation,0.0681096616081693,0.2452502088614286,p =  0.25
media,Extraversion,anes16,0.043157589587217944,0.04299962330691639,under30,ANES 2016,Media use,0.043157589587217944,0.3155359339088678,p =  0.32
poltr,Agreeableness,anes16,0.03867225982719584,0.047690244106471866,under30,ANES 2016,Political trust,0.03867225982719584,0.41742019944344105,p =  0.42
knowledge,Neuroticism,anes16,-0.0640991538249221,0.04366289319992538,under30,ANES 2016,Knowledge,0.0640991538249221,0.14209161552605237,p =  0.14
ideology,Openness,bes,-0.006977115488971031,0.031230849549500353,under30,BES,Left-right ideology,0.006977115488971031,0.823220623574233,p =  0.82
stfdem,Conscientiousness,bes,-0.018820320189914884,0.026092800141463455,under30,BES,Sat. democracy,0.018820320189914884,0.47073477706775124,p =  0.47
polintr,Extraversion,bes,-0.048233369853868516,0.024276085646073847,under30,BES,Interest,0.048233369853868516,0.0469370625848346,p =  0.05
poleff,Agreeableness,bes,-0.08193360136481928,0.03219994282027703,under30,BES,Efficacy,0.08193360136481928,0.0109426071024127,p =  0.01
involvement,Neuroticism,bes,0.02715809742570981,0.029854968569619295,under30,BES,Involvement,0.02715809742570981,0.36299783930600166,p =  0.36
polpar,Openness,bes,-0.012907876780457914,0.030956796857057756,under30,BES,Participation,0.012907876780457914,0.6767045759843582,p =  0.68
media,Conscientiousness,bes,-0.015474550133988248,0.025754866407616088,under30,BES,Media use,0.015474550133988248,0.5479466575226768,p =  0.55
poltr,Extraversion,bes,0.037163313530434484,0.061346494394098075,under30,BES,Political trust,0.037163313530434484,0.5446518218148275,p =  0.54
knowledge,Agreeableness,bes,0.02332984442555449,0.0434335905083144,under30,BES,Knowledge,0.02332984442555449,0.59117209537126,p =  0.59
ideology,Neuroticism,bes,0.007244027164621696,0.028587988931417153,under30,BES,Left-right ideology,0.007244027164621696,0.7999637016162974,p =  0.8
stfdem,Openness,bes,-0.02709716798698174,0.029565430010337897,under30,BES,Sat. democracy,0.02709716798698174,0.35939670358654485,p =  0.36
polintr,Conscientiousness,bes,-0.012622592230524891,0.02393778635303437,under30,BES,Interest,0.012622592230524891,0.5979795460968383,p =  0.6
poleff,Extraversion,bes,-6.095821889467385e-5,0.029532367650456855,under30,BES,Efficacy,6.095821889467385e-5,0.9983530752512484,p =  1
involvement,Agreeableness,bes,-0.10283363581461046,0.03165975165089934,under30,BES,Involvement,0.10283363581461046,0.0011618363618697677,p < 0.01
polpar,Neuroticism,bes,0.006110068215497511,0.0278566338074276,under30,BES,Participation,0.006110068215497511,0.826385368350641,p =  0.83
media,Openness,bes,-0.04464809504327986,0.029149895932905016,under30,BES,Media use,0.04464809504327986,0.12560326279818018,p =  0.13
poltr,Conscientiousness,bes,-0.05957150203377852,0.0599334693647449,under30,BES,Political trust,0.05957150203377852,0.32024209124451036,p =  0.32
knowledge,Extraversion,bes,-0.015256807737061293,0.04524115021682773,under30,BES,Knowledge,0.015256807737061293,0.7359412803009211,p =  0.74
ideology,Agreeableness,bes,-0.044294028966762926,0.030199894303562597,under30,BES,Left-right ideology,0.044294028966762926,0.1424590887855516,p =  0.14
stfdem,Neuroticism,bes,0.023118374391488474,0.027154099896831797,under30,BES,Sat. democracy,0.023118374391488474,0.39455999906788913,p =  0.39
polintr,Openness,bes,-0.006217492558334824,0.027103741107414564,under30,BES,Interest,0.006217492558334824,0.8185610655876661,p =  0.82
poleff,Conscientiousness,bes,-0.01637832682884126,0.030119174498057708,under30,BES,Efficacy,0.01637832682884126,0.5865900828018835,p =  0.59
involvement,Extraversion,bes,-0.0695705416795447,0.029826553838890827,under30,BES,Involvement,0.0695705416795447,0.019674218201984624,p =  0.02
polpar,Agreeableness,bes,-0.05799809272944086,0.029866570726165085,under30,BES,Participation,0.05799809272944086,0.05214840050384608,p =  0.05
media,Neuroticism,bes,-0.018924005813959883,0.02670807405512031,under30,BES,Media use,0.018924005813959883,0.478603775043085,p =  0.48
poltr,Openness,bes,-0.09327459368857793,0.06588795483005098,under30,BES,Political trust,0.09327459368857793,0.15687662419631562,p =  0.16
knowledge,Conscientiousness,bes,0.021855368492529257,0.04206438105223136,under30,BES,Knowledge,0.021855368492529257,0.6033636762808798,p =  0.6
ideology,Extraversion,bes,0.06363838566118958,0.0278775995392446,under30,BES,Left-right ideology,0.06363838566118958,0.022443417337824564,p =  0.02
stfdem,Agreeableness,bes,-0.035056507258564455,0.028666180735121012,under30,BES,Sat. democracy,0.035056507258564455,0.22135910317574278,p =  0.22
polintr,Neuroticism,bes,0.03775226994415914,0.02472925059877566,under30,BES,Interest,0.03775226994415914,0.12685451065144593,p =  0.13
poleff,Openness,bes,0.009081371378877906,0.03356807006591046,under30,BES,Efficacy,0.009081371378877906,0.7867479256483695,p =  0.79
involvement,Conscientiousness,bes,-0.08446572498274563,0.02973213016489601,under30,BES,Involvement,0.08446572498274563,0.0044987762027291055,p < 0.01
polpar,Extraversion,bes,-0.02597360089624188,0.027954088449904185,under30,BES,Participation,0.02597360089624188,0.3528102503468444,p =  0.35
media,Agreeableness,bes,-0.07496964517135749,0.02842398558616031,under30,BES,Media use,0.07496964517135749,0.008350764314320766,p < 0.01
poltr,Neuroticism,bes,0.08135143466474178,0.06113609922119986,under30,BES,Political trust,0.08135143466474178,0.18330051790679375,p =  0.18
knowledge,Openness,bes,-0.057225969132191135,0.047995228787210416,under30,BES,Knowledge,0.057225969132191135,0.23313336213880556,p =  0.23
ideology,Conscientiousness,bes,-0.06441805930185027,0.027400526794247638,under30,BES,Left-right ideology,0.06441805930185027,0.018724097501898334,p =  0.02
stfdem,Extraversion,bes,0.03199219104252037,0.02663715430708039,under30,BES,Sat. democracy,0.03199219104252037,0.22973709456123592,p =  0.23
polintr,Agreeableness,bes,-0.048701158058380094,0.026051945667486327,under30,BES,Interest,0.048701158058380094,0.06156904791994802,p =  0.06
poleff,Neuroticism,bes,-0.04869077066292183,0.030050595706931908,under30,BES,Efficacy,0.04869077066292183,0.10516934621754313,p =  0.11
involvement,Openness,bes,-0.022596478779855288,0.03276670232528641,under30,BES,Involvement,0.022596478779855288,0.4904350004407411,p =  0.49
polpar,Conscientiousness,bes,0.006651096252385123,0.02764685675712527,under30,BES,Participation,0.006651096252385123,0.8098858267114973,p =  0.81
media,Extraversion,bes,-0.009330539400250753,0.02618772601683623,under30,BES,Media use,0.009330539400250753,0.7216201235044435,p =  0.72
poltr,Agreeableness,bes,-0.13256886225038583,0.06121354724564545,under30,BES,Political trust,0.13256886225038583,0.030335764246192574,p =  0.03
knowledge,Neuroticism,bes,-0.06163466419983298,0.04493862003504439,under30,BES,Knowledge,0.06163466419983298,0.17020980743138925,p =  0.17
ideology,Openness,liss,-0.022840281143396885,0.04259307302905622,under30,LISS,Left-right ideology,0.022840281143396885,0.5917899068538357,p =  0.59
stfdem,Conscientiousness,liss,-0.004087636783730166,0.03506123996589059,under30,LISS,Sat. democracy,0.004087636783730166,0.9071884248975378,p =  0.91
polintr,Extraversion,liss,-0.054766565803567424,0.03399817584607418,under30,LISS,Interest,0.054766565803567424,0.10720854552703611,p =  0.11
poleff,Agreeableness,liss,0.027217067093823644,0.036180519393913084,under30,LISS,Efficacy,0.027217067093823644,0.4518962203383499,p =  0.45
involvement,Neuroticism,liss,-2.269268510884777e-4,0.03549150235051016,under30,LISS,Involvement,2.269268510884777e-4,0.9948984916031947,p =  0.99
polpar,Openness,liss,0.14608160461210318,0.04838646710899386,under30,LISS,Participation,0.14608160461210318,0.002535610494728939,p < 0.01
media,Conscientiousness,liss,-0.01442396408738775,0.034017554401242954,under30,LISS,Media use,0.01442396408738775,0.6715546432898307,p =  0.67
poltr,Extraversion,liss,-0.03147131348696135,0.035257246122241154,under30,LISS,Political trust,0.03147131348696135,0.37206085008795114,p =  0.37
knowledge,Agreeableness,liss,NA,NA,under30,LISS,Knowledge,NA,NA,p =  NA
ideology,Neuroticism,liss,-0.009320129933735169,0.03955273537042813,under30,LISS,Left-right ideology,0.009320129933735169,0.8137135352981668,p =  0.81
stfdem,Openness,liss,0.10292786600869179,0.03875742451368132,under30,LISS,Sat. democracy,0.10292786600869179,0.007914535722149948,p < 0.01
polintr,Conscientiousness,liss,0.028154179228276083,0.033754958917924266,under30,LISS,Interest,0.028154179228276083,0.40423852375576114,p =  0.4
poleff,Extraversion,liss,-0.07289523939836717,0.03426315105747555,under30,LISS,Efficacy,0.07289523939836717,0.033377627426673086,p =  0.03
involvement,Agreeableness,liss,-0.03154375074297438,0.03617652863140437,under30,LISS,Involvement,0.03154375074297438,0.3832412860863707,p =  0.38
