outcome,trait,dataset,est,se,Data,name,pval,pval_text
poltr,Neuroticism,anes16,0.019404535581115608,0.01666424295350891,ANES 2016,Political trust,0.2442451494317968,p =  0.24
knowledge,Openness,anes16,0.11485993286129254,0.016569216623350754,ANES 2016,Knowledge,4.145561679806492e-12,p < 0.01
ideology,Conscientiousness,anes16,0.09070535152108382,0.01945959392248964,ANES 2016,Left-right ideology,3.1434809954981217e-6,p < 0.01
stfdem,Extraversion,anes16,0.022795194349699902,0.016745963442045226,ANES 2016,Sat. democracy,0.17343938389200292,p =  0.17
polintr,Agreeableness,anes16,0.08346968253766145,0.016474809768239642,ANES 2016,Interest,4.0518915134115034e-7,p < 0.01
poleff,Neuroticism,anes16,-0.07062397127872685,0.016740840039248868,ANES 2016,Efficacy,2.457546995891688e-5,p < 0.01
involvement,Openness,anes16,0.1506711258633681,0.01663845860730496,ANES 2016,Involvement,1.3582648220783046e-19,p < 0.01
polpar,Conscientiousness,anes16,0.0476451372280784,0.020139914390037494,ANES 2016,Participation,0.01799567819829888,p =  0.02
media,Extraversion,anes16,0.03633691368641793,0.016504103545649684,ANES 2016,Media use,0.02768723949328729,p =  0.03
poltr,Agreeableness,anes16,0.03006908915406042,0.016677628304735435,ANES 2016,Political trust,0.07139456820362261,p =  0.07
knowledge,Neuroticism,anes16,-0.16127952915424046,0.01644370617147754,ANES 2016,Knowledge,1.04030887072498e-22,p < 0.01
ideology,Openness,bes,-0.14491738996056744,0.0070279374729830335,BES,Left-right ideology,1.8085543859677705e-94,p < 0.01
stfdem,Conscientiousness,bes,0.0898658864389182,0.006808891839731043,BES,Sat. democracy,8.972176803530115e-40,p < 0.01
polintr,Extraversion,bes,0.050851293342122614,0.0062641068201354615,BES,Interest,4.743813776885073e-16,p < 0.01
poleff,Agreeableness,bes,0.016981598496514882,0.006739648391935368,BES,Efficacy,0.011746942638885148,p =  0.01
involvement,Neuroticism,bes,-0.011711054548462989,0.007270695879148835,BES,Involvement,0.10724078604855104,p =  0.11
polpar,Openness,bes,0.009154221977759376,0.006134828445656832,BES,Participation,0.1356539433169035,p =  0.14
media,Conscientiousness,bes,0.028729375859431243,0.006744309815434348,BES,Media use,2.0461466791290313e-5,p < 0.01
poltr,Extraversion,bes,0.06315619468585842,0.012749766630801119,BES,Political trust,7.288372494002185e-7,p < 0.01
knowledge,Agreeableness,bes,-0.021835332251416706,0.006470462214287941,BES,Knowledge,7.39184676722239e-4,p < 0.01
ideology,Neuroticism,bes,-0.09040303291005762,0.007160627076946032,BES,Left-right ideology,1.537097982213295e-36,p < 0.01
stfdem,Openness,bes,-0.11975368175569985,0.0066951029515115055,BES,Sat. democracy,1.495625127497724e-71,p < 0.01
polintr,Conscientiousness,bes,0.03984041960298936,0.006334655405700393,BES,Interest,3.1894238096957085e-10,p < 0.01
poleff,Extraversion,bes,0.10795490544459341,0.006734149362127859,BES,Efficacy,7.766859040316962e-58,p < 0.01
involvement,Agreeableness,bes,0.008464002794067923,0.0072561753581205785,BES,Involvement,0.24343048978609838,p =  0.24
polpar,Neuroticism,bes,-0.04388606202654523,0.0061364962622643335,BES,Participation,8.574212546370554e-13,p < 0.01
media,Openness,bes,0.05013038480477114,0.006652527792313517,BES,Media use,4.863205921913805e-14,p < 0.01
poltr,Conscientiousness,bes,0.041099584456926956,0.012992474315459012,BES,Political trust,0.0015597126525387765,p < 0.01
knowledge,Extraversion,bes,-0.035597334025321184,0.006488691340054994,BES,Knowledge,4.1100307960842557e-8,p < 0.01
ideology,Agreeableness,bes,-0.039260189020723445,0.007147136910611459,BES,Left-right ideology,3.9486036851506524e-8,p < 0.01
stfdem,Neuroticism,bes,-0.08601688144015097,0.006780017106463506,BES,Sat. democracy,6.996616130353287e-37,p < 0.01
polintr,Openness,bes,0.09565914080914939,0.006243115999042973,BES,Interest,5.423020497286787e-53,p < 0.01
poleff,Conscientiousness,bes,0.053549891094666575,0.006848128043065403,BES,Efficacy,5.2974915722419756e-15,p < 0.01
involvement,Extraversion,bes,0.06735492781226379,0.0072708434285590606,BES,Involvement,1.974641185370887e-20,p < 0.01
polpar,Agreeableness,bes,0.041587661283755226,0.00610563889812502,BES,Participation,9.6685120649275e-12,p < 0.01
media,Neuroticism,bes,-0.012042091790921139,0.006698684956293285,BES,Media use,0.07222773688259897,p =  0.07
poltr,Openness,bes,-0.03558219190286318,0.012905791343462748,BES,Political trust,0.005832156399223266,p < 0.01
knowledge,Conscientiousness,bes,0.08242960166663321,0.006526211179959657,BES,Knowledge,1.4328305107282104e-36,p < 0.01
ideology,Extraversion,bes,0.011009529243831225,0.007078329899038717,BES,Left-right ideology,0.1198543675911326,p =  0.12
stfdem,Agreeableness,bes,0.058893117993021944,0.006764272593552154,BES,Sat. democracy,3.1341068324078594e-18,p < 0.01
polintr,Neuroticism,bes,-0.039177132490677016,0.00629027195682717,BES,Interest,4.717954658117494e-10,p < 0.01
poleff,Openness,bes,0.12440899325006305,0.006688172852127956,BES,Efficacy,3.1336172989907417e-77,p < 0.01
involvement,Conscientiousness,bes,-0.036557749695516124,0.007382030881668258,BES,Involvement,7.335581458100885e-7,p < 0.01
polpar,Extraversion,bes,0.007975675881412644,0.00614009772080541,BES,Participation,0.19396131542112205,p =  0.19
media,Agreeableness,bes,0.022665352555773417,0.006683499299928339,BES,Media use,6.957705323582718e-4,p < 0.01
poltr,Neuroticism,bes,-0.10101632152401537,0.012968434991605573,BES,Political trust,6.732839081848534e-15,p < 0.01
knowledge,Openness,bes,0.0020517262182033224,0.006448843967082107,BES,Knowledge,0.7503680398008095,p =  0.75
ideology,Conscientiousness,bes,0.12868801733149637,0.007110700545021534,BES,Left-right ideology,3.3166854487513995e-73,p < 0.01
stfdem,Extraversion,bes,0.005535729816565851,0.006750912477697132,BES,Sat. democracy,0.412217662218292,p =  0.41
polintr,Agreeableness,bes,0.007881589385429915,0.006265217754432904,BES,Interest,0.2083949050754094,p =  0.21
poleff,Neuroticism,bes,-0.11051658677347981,0.006734522227768544,BES,Efficacy,1.6098937502393138e-60,p < 0.01
involvement,Openness,bes,0.12100881069461525,0.007202295868953913,BES,Involvement,2.3826358983885714e-63,p < 0.01
polpar,Conscientiousness,bes,0.040233702319928,0.006228660106366823,BES,Participation,1.0508600499555508e-10,p < 0.01
media,Extraversion,bes,0.07774004721063127,0.006652503090043586,BES,Media use,1.5059394392507566e-31,p < 0.01
poltr,Agreeableness,bes,0.0354853735018928,0.012889736789511289,BES,Political trust,0.005905290212017838,p < 0.01
knowledge,Neuroticism,bes,-0.12337323428501328,0.0064845918375882085,BES,Knowledge,1.0468720945365274e-80,p < 0.01
ideology,Openness,liss,-0.09004704957574831,0.014459443877283264,LISS,Left-right ideology,4.737563218836302e-10,p < 0.01
stfdem,Conscientiousness,liss,0.05080432835442722,0.013753484268294033,LISS,Sat. democracy,2.2081965235443317e-4,p < 0.01
polintr,Extraversion,liss,0.13030812471238218,0.013325249485284364,LISS,Interest,1.3852047993173044e-22,p < 0.01
poleff,Agreeableness,liss,0.058651938221329886,0.013428062945828259,LISS,Efficacy,1.2546819835005544e-5,p < 0.01
involvement,Neuroticism,liss,-0.05004198155446378,0.01344097910940328,LISS,Involvement,1.967989440862774e-4,p < 0.01
polpar,Openness,liss,0.10605763061659751,0.014562911123278703,LISS,Participation,3.271513848994348e-13,p < 0.01
media,Conscientiousness,liss,0.04235986588929191,0.013425322004775243,LISS,Media use,0.0016037624675887061,p < 0.01
poltr,Extraversion,liss,0.032740193403367826,0.013555173637203117,LISS,Political trust,0.015721036079189326,p =  0.02
knowledge,Agreeableness,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Neuroticism,liss,-0.04002949020175571,0.014551153425002255,LISS,Left-right ideology,0.005942277876348949,p < 0.01
stfdem,Openness,liss,0.13078162794218398,0.013702856291879777,LISS,Sat. democracy,1.372754323648316e-21,p < 0.01
polintr,Conscientiousness,liss,0.09092934075437646,0.013384755702302385,LISS,Interest,1.0944507415442157e-11,p < 0.01
poleff,Extraversion,liss,0.15660321106524977,0.013288921041177931,LISS,Efficacy,4.692293065653531e-32,p < 0.01
involvement,Agreeableness,liss,0.0341351003548707,0.013449291787667784,LISS,Involvement,0.011146908891668687,p =  0.01
polpar,Neuroticism,liss,-0.05154270348333442,0.01478460507332625,LISS,Participation,4.898585958092549e-4,p < 0.01
media,Openness,liss,0.18575366634119578,0.013202236162964984,LISS,Media use,5.818124361223181e-45,p < 0.01
poltr,Conscientiousness,liss,0.08025919360836746,0.013551639742917638,LISS,Political trust,3.1713971311077452e-9,p < 0.01
knowledge,Extraversion,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Agreeableness,liss,-0.10342841453712222,0.014429510475056608,LISS,Left-right ideology,7.619057287873116e-13,p < 0.01
stfdem,Neuroticism,liss,-0.12547450698515866,0.013712729861508663,LISS,Sat. democracy,5.681726114786417e-20,p < 0.01
polintr,Openness,liss,0.2949970471527401,0.01283733066863724,LISS,Interest,7.452763427735711e-117,p < 0.01
poleff,Conscientiousness,liss,0.05036408049985296,0.013434048147753648,LISS,Efficacy,1.7754983260487067e-4,p < 0.01
involvement,Extraversion,liss,0.1269836957052828,0.013350091688908189,LISS,Involvement,1.873519058317794e-21,p < 0.01
polpar,Agreeableness,liss,0.03834645185209817,0.014758856200719555,LISS,Participation,0.00937140471380819,p < 0.01
media,Neuroticism,liss,-0.1138132571084909,0.013350358466784234,LISS,Media use,1.526663833021053e-17,p < 0.01
poltr,Openness,liss,0.07673097304476634,0.01353552140615047,LISS,Political trust,1.437509395498771e-8,p < 0.01
knowledge,Conscientiousness,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Extraversion,liss,0.03101240763107537,0.014434431510684334,LISS,Left-right ideology,0.03167388304886845,p =  0.03
stfdem,Agreeableness,liss,0.07037845381200346,0.013735705600461674,LISS,Sat. democracy,2.995027581901766e-7,p < 0.01
polintr,Neuroticism,liss,-0.119721997134048,0.013341504124692696,LISS,Interest,2.868460216563345e-19,p < 0.01
poleff,Openness,liss,0.36068328319590726,0.01253768600824577,LISS,Efficacy,5.4049165714182996e-182,p < 0.01
involvement,Conscientiousness,liss,-0.007488695956690945,0.013454035391623865,LISS,Involvement,0.5777916180793924,p =  0.58
polpar,Extraversion,liss,0.0033472794721808806,0.014829015350814953,LISS,Participation,0.821415313606604,p =  0.82
media,Agreeableness,liss,0.014868035040352246,0.013437349066813958,LISS,Media use,0.2685227743597431,p =  0.27
poltr,Neuroticism,liss,-0.1158549015057193,0.013481908793763485,LISS,Political trust,8.446207185403561e-18,p < 0.01
knowledge,Openness,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Conscientiousness,liss,0.0799699611151325,0.014432003862732237,LISS,Left-right ideology,3.004841944686316e-8,p < 0.01
stfdem,Extraversion,liss,0.053960326428660534,0.013726990538263434,LISS,Sat. democracy,8.460540805369894e-5,p < 0.01
polintr,Agreeableness,liss,0.06430667418334524,0.013409390775777361,LISS,Interest,1.6215244568909982e-6,p < 0.01
poleff,Neuroticism,liss,-0.15303461980045613,0.013293304903222836,LISS,Efficacy,1.1457556924179678e-30,p < 0.01
involvement,Openness,liss,0.21566619728812483,0.01312744137577449,LISS,Involvement,1.1927641525373143e-60,p < 0.01
polpar,Conscientiousness,liss,0.050183519718986026,0.014957034597880054,LISS,Participation,7.931381158207934e-4,p < 0.01
media,Extraversion,liss,0.089226928309913,0.013387231510312163,LISS,Media use,2.6452670041087712e-11,p < 0.01
poltr,Agreeableness,liss,0.06786335171059633,0.013518947657039466,LISS,Political trust,5.170662074171208e-7,p < 0.01
knowledge,Neuroticism,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Openness,shp,-0.1236874486734273,0.013082214948613214,SHP,Left-right ideology,3.241789987226434e-21,p < 0.01
stfdem,Conscientiousness,shp,-0.0037370800094011576,0.012465244935000086,SHP,Sat. democracy,0.7643297411555061,p =  0.76
polintr,Extraversion,shp,-0.021845968080356673,0.012085170099460979,SHP,Interest,0.07065828042352265,p =  0.07
poleff,Agreeableness,shp,NA,NA,SHP,Efficacy,NA,p =  NA
involvement,Neuroticism,shp,NA,NA,SHP,Involvement,NA,p =  NA
polpar,Openness,shp,0.07470691216956825,0.013042382737231812,SHP,Participation,1.0161496143558813e-8,p < 0.01
media,Conscientiousness,shp,NA,NA,SHP,Media use,NA,p =  NA
poltr,Extraversion,shp,0.01255915826087259,0.0122116101335567,SHP,Political trust,0.30373327775932213,p =  0.3
